modelMode,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,onlineRate,offlineRate,onlineGovEffect,offlineGovEffect,latentTime,forgetTime,govForgetTime,nRuns,nCompleted,nUniqueSeedsCompleted,nUsedForStats,duplicateCompletedRunsIgnored,usedCompletedOnly,meanI1Peak,sdI1Peak,meanI1PeakTime,meanI2Peak,sdI2Peak,meanI2PeakTime,meanTotalInfectedPeak,sdTotalInfectedPeak,meanCumulativeRight,sdCumulativeRight,meanCumulativeTrapezoid,sdCumulativeTrapezoid,meanFinalR,sdFinalR
0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,60,30,30,30,0,true,545.166667,30.121688,25.066667,208.033333,16.009659,25.366667,750.533333,36.221287,25028.466667,1067.749187,25028.45,1067.743805,983.5,7.398742
0,15.0,true,false,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,60,30,30,30,0,true,601.366667,20.335943,27.433333,231.633333,14.416187,27.8,830.833333,21.932629,35657.133333,1280.642046,35656.7,1280.409192,980.566667,5.775593
0,15.0,true,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,81,61,30,30,31,true,529.6,29.550191,24.3,201.9,14.353541,25.133333,729.533333,35.913434,23567.5,669.921496,23567.5,669.921496,986.033333,4.845783
0,30.0,false,false,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,64,61,30,30,31,true,626.2,25.237356,28.433333,240.4,11.906533,29.7,863.966667,18.793769,41216.733333,867.236194,41215.55,866.905857,989.933333,3.859009
0,30.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,109,60,30,30,30,true,625.466667,25.930588,28.233333,239.4,12.466783,29.1,862.9,20.305172,32133.766667,805.364886,32133.65,805.314354,981.933333,3.172439
0,30.0,true,false,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,109,61,30,30,31,true,625.766667,25.585129,28.333333,239.866667,12.047988,29.233333,863.333333,19.70705,37796,933.323908,37795.65,933.375753,980.6,6.139752
0,30.0,true,true,4,6,0.01,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,111,92,30,30,62,true,362.533333,32.040635,32.233333,145.4,14.356544,33.966667,502.966667,43.639972,26105.533333,1186.717226,26104.716667,1186.963844,902.5,32.179186
0,30.0,true,true,4,6,0.1,10,10,20.0,2.0,0.05,0.15,2.0,30.0,4.0,119,61,30,30,31,true,607.5,20.188337,28.8,230.6,12.732256,28.8,836.733333,25.434071,28614.366667,575.397343,28614.366667,575.397343,983.233333,4.141325
0,30.0,true,true,4,6,0.1,10,10,35.0,5.0,0.02,0.05,2.0,30.0,4.0,110,60,30,30,30,true,625.566667,25.811897,28.266667,240.233333,11.565953,29.433333,863.4,19.64267,37316.966667,903.978733,37316.766667,903.749181,980.933333,4.623279
0,30.0,true,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,1.0,15.0,2.0,109,67,30,30,37,true,584.533333,26.707526,15.866667,219.9,15.125566,15.7,802.8,33.186412,17047,295.528282,17047,295.528282,888.366667,13.83021
0,30.0,true,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,98,60,30,30,30,true,625.333333,26.070638,28.233333,239.566667,12.113496,29.033333,862.866667,20.339758,31061.7,908.54401,31061.7,908.54401,983.1,4.365618
0,30.0,true,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,4.0,45.0,8.0,95,81,30,30,51,true,498.866667,34.523089,38.833333,191.266667,14.495976,38.533333,687.1,44.310309,30431.866667,1530.082525,30431.766667,1529.989423,290.833333,22.7461
0,30.0,true,true,4,6,0.1,10,10,35.0,5.0,0.1,0.3,2.0,30.0,4.0,109,61,30,30,31,true,625.166667,26.273211,28.2,239.166667,12.415461,28.9,862.633333,20.625534,25632.2,907.748841,25632.2,907.748841,988.033333,4.147981
0,30.0,true,true,4,6,0.1,10,10,50.0,8.0,0.05,0.15,2.0,30.0,4.0,118,60,30,30,30,true,636.4,22.736269,27.9,244.633333,13.737649,28.8,878.266667,23.878909,32819.633333,804.354206,32819.5,804.444272,978.933333,5.24525
0,30.0,true,true,4,6,0.3,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,92,90,30,30,60,true,692.8,13.639193,21.166667,260.766667,13.037567,21.233333,952.133333,8.625277,33275.566667,736.468071,33275.566667,736.468071,982.366667,5.275077
0,60.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,60,30,30,30,0,true,626.2,25.237356,28.433333,240.4,11.906533,29.7,863.966667,18.793769,39106.166667,779.801614,39106.083333,779.761713,965.1,7.255676
0,60.0,true,false,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,60,31,30,30,1,true,626.2,25.237356,28.433333,240.4,11.906533,29.7,863.966667,18.793769,40571.566667,881.603894,40571.083333,881.461023,978.933333,6.252907
0,60.0,true,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,110,60,30,30,30,true,626.2,25.237356,28.433333,240.4,11.906533,29.7,863.966667,18.793769,38730.133333,778.642219,38730.05,778.708174,961.633333,8.552005
1,15.0,true,true,0,10,0.0,20,0,35.0,0.0,0.05,0.15,2.0,5.0,3.0,60,60,30,30,30,true,935.9,5.897691,5,0,0,0,935.9,5.897691,4997.433333,57.995055,4997.433333,57.995055,559.733333,12.703335
1,30.0,false,false,0,10,0.0,20,0,35.0,0.0,0.05,0.15,2.0,5.0,3.0,60,57,30,30,27,true,935.9,5.897691,5,0,0,0,935.9,5.897691,4997.433333,57.995055,4997.433333,57.995055,559.733333,12.703335
1,30.0,true,true,0,10,0.0,20,0,35.0,0.0,0.05,0.15,2.0,5.0,3.0,60,60,30,30,30,true,935.9,5.897691,5,0,0,0,935.9,5.897691,4997.433333,57.995055,4997.433333,57.995055,559.733333,12.703335
1,60.0,true,true,0,10,0.0,20,0,35.0,0.0,0.05,0.15,2.0,5.0,3.0,59,59,30,30,29,true,935.9,5.897691,5,0,0,0,935.9,5.897691,4997.433333,57.995055,4997.433333,57.995055,559.733333,12.703335
2,15.0,true,true,0,10,0.1,20,0,35.0,0.0,0.05,0.15,2.0,5.0,3.0,60,60,30,30,30,true,519.733333,23.257084,10.733333,0,0,0,519.733333,23.257084,4994.466667,51.074478,4994.466667,51.074478,653.666667,15.914282
2,30.0,false,false,0,10,0.1,20,0,35.0,0.0,0.05,0.15,2.0,5.0,3.0,59,59,30,30,29,true,519.733333,23.257084,10.733333,0,0,0,519.733333,23.257084,4995.166667,50.727863,4995.166667,50.727863,653.433333,15.895528
2,30.0,true,true,0,10,0.1,20,0,35.0,0.0,0.05,0.15,2.0,5.0,3.0,60,60,30,30,30,true,519.733333,23.257084,10.733333,0,0,0,519.733333,23.257084,4995.166667,50.727863,4995.166667,50.727863,653.433333,15.895528
2,60.0,true,true,0,10,0.1,20,0,35.0,0.0,0.05,0.15,2.0,5.0,3.0,60,60,30,30,30,true,519.733333,23.257084,10.733333,0,0,0,519.733333,23.257084,4995.166667,50.727863,4995.166667,50.727863,653.433333,15.895528
3,15.0,true,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,5.0,3.0,30,30,30,30,0,true,176.1,16.488972,18.033333,66.266667,6.400072,17.266667,237.566667,19.996005,4763.666667,60.847086,4763.666667,60.847086,784.133333,17.514001
3,30.0,false,false,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,5.0,3.0,57,57,30,30,27,true,176.1,14.288529,17.766667,66.4,7.513666,17.066667,237.2,20.098722,4750.533333,55.701627,4750.533333,55.701627,784.433333,14.557101
3,30.0,true,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,5.0,3.0,50,30,30,30,0,true,176.1,14.288529,17.766667,66.4,7.513666,17.066667,237.2,20.098722,4748.3,56.951976,4748.3,56.951976,784.033333,14.639303
3,60.0,true,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,5.0,3.0,60,31,30,30,1,true,176.1,14.288529,17.766667,66.4,7.513666,17.066667,237.2,20.098722,4750.533333,55.701627,4750.533333,55.701627,784.433333,14.557101
