priority,scenarioGroup,enableOnlineIntervention,enableOfflineIntervention,initialOnlineSeeds,initialOfflineSeeds,expectedFinalTime,paperUse,notes,batchId,modelMode,modelModeName,baselineFamily,requiresModelModeSupport,analysisRole,queueId,scenarioId,scenarioName,seedId,sensitivityDesign,sensitivitySampleId,sensitivitySeedReplicate,onlineRate,offlineRate,onlineGovEffect,offlineGovEffect,latentTime,forgetTime,govForgetTime,pRewire,kOnline,kOffline,interventionStartTime
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L001-seed01,LHS_L001,LHS 参数样本 L001,1,LHS,L001,1,38.7287,7.7894,0.1022,0.1394,4.5399,18.7074,7.1526,0.0793,6,2,58
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L001-seed07,LHS_L001,LHS 参数样本 L001,7,LHS,L001,7,38.7287,7.7894,0.1022,0.1394,4.5399,18.7074,7.1526,0.0793,6,2,58
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L001-seed13,LHS_L001,LHS 参数样本 L001,13,LHS,L001,13,38.7287,7.7894,0.1022,0.1394,4.5399,18.7074,7.1526,0.0793,6,2,58
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L001-seed19,LHS_L001,LHS 参数样本 L001,19,LHS,L001,19,38.7287,7.7894,0.1022,0.1394,4.5399,18.7074,7.1526,0.0793,6,2,58
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L001-seed25,LHS_L001,LHS 参数样本 L001,25,LHS,L001,25,38.7287,7.7894,0.1022,0.1394,4.5399,18.7074,7.1526,0.0793,6,2,58
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L002-seed01,LHS_L002,LHS 参数样本 L002,1,LHS,L002,1,32.5765,4.618,0.0351,0.081,3.9377,11.376,7.0273,0.2127,7,5,26
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L002-seed07,LHS_L002,LHS 参数样本 L002,7,LHS,L002,7,32.5765,4.618,0.0351,0.081,3.9377,11.376,7.0273,0.2127,7,5,26
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L002-seed13,LHS_L002,LHS 参数样本 L002,13,LHS,L002,13,32.5765,4.618,0.0351,0.081,3.9377,11.376,7.0273,0.2127,7,5,26
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L002-seed19,LHS_L002,LHS 参数样本 L002,19,LHS,L002,19,32.5765,4.618,0.0351,0.081,3.9377,11.376,7.0273,0.2127,7,5,26
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L002-seed25,LHS_L002,LHS 参数样本 L002,25,LHS,L002,25,32.5765,4.618,0.0351,0.081,3.9377,11.376,7.0273,0.2127,7,5,26
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L003-seed01,LHS_L003,LHS 参数样本 L003,1,LHS,L003,1,27.8501,9.0707,0.0632,0.1417,4.853,9.2908,7.6672,0.0321,6,7,46
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L003-seed07,LHS_L003,LHS 参数样本 L003,7,LHS,L003,7,27.8501,9.0707,0.0632,0.1417,4.853,9.2908,7.6672,0.0321,6,7,46
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L003-seed13,LHS_L003,LHS 参数样本 L003,13,LHS,L003,13,27.8501,9.0707,0.0632,0.1417,4.853,9.2908,7.6672,0.0321,6,7,46
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L003-seed19,LHS_L003,LHS 参数样本 L003,19,LHS,L003,19,27.8501,9.0707,0.0632,0.1417,4.853,9.2908,7.6672,0.0321,6,7,46
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L003-seed25,LHS_L003,LHS 参数样本 L003,25,LHS,L003,25,27.8501,9.0707,0.0632,0.1417,4.853,9.2908,7.6672,0.0321,6,7,46
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L004-seed01,LHS_L004,LHS 参数样本 L004,1,LHS,L004,1,39.7484,5.5981,0.0837,0.3382,2.4668,6.5151,3.2697,0.2587,6,3,33
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L004-seed07,LHS_L004,LHS 参数样本 L004,7,LHS,L004,7,39.7484,5.5981,0.0837,0.3382,2.4668,6.5151,3.2697,0.2587,6,3,33
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L004-seed13,LHS_L004,LHS 参数样本 L004,13,LHS,L004,13,39.7484,5.5981,0.0837,0.3382,2.4668,6.5151,3.2697,0.2587,6,3,33
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L004-seed19,LHS_L004,LHS 参数样本 L004,19,LHS,L004,19,39.7484,5.5981,0.0837,0.3382,2.4668,6.5151,3.2697,0.2587,6,3,33
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,LHS-L004-seed25,LHS_L004,LHS 参数样本 L004,25,LHS,L004,25,39.7484,5.5981,0.0837,0.3382,2.4668,6.5151,3.2697,0.2587,6,3,33
