priority,scenarioGroup,enableOnlineIntervention,enableOfflineIntervention,initialOnlineSeeds,initialOfflineSeeds,expectedFinalTime,paperUse,notes,batchId,modelMode,modelModeName,baselineFamily,requiresModelModeSupport,analysisRole,queueId,scenarioId,scenarioName,seedId,sensitivityDesign,sensitivitySampleId,sensitivitySeedReplicate,onlineRate,offlineRate,onlineGovEffect,offlineGovEffect,latentTime,forgetTime,govForgetTime,pRewire,kOnline,kOffline,interventionStartTime
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M001-seed01,MORRIS_M001,MORRIS 参数样本 M001,1,MORRIS,M001,1,20.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,20
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M001-seed07,MORRIS_M001,MORRIS 参数样本 M001,7,MORRIS,M001,7,20.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,20
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M001-seed13,MORRIS_M001,MORRIS 参数样本 M001,13,MORRIS,M001,13,20.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,20
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M001-seed19,MORRIS_M001,MORRIS 参数样本 M001,19,MORRIS,M001,19,20.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,20
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M001-seed25,MORRIS_M001,MORRIS 参数样本 M001,25,MORRIS,M001,25,20.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,20
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M002-seed01,MORRIS_M002,MORRIS 参数样本 M002,1,MORRIS,M002,1,38.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,20
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M002-seed07,MORRIS_M002,MORRIS 参数样本 M002,7,MORRIS,M002,7,38.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,20
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M002-seed13,MORRIS_M002,MORRIS 参数样本 M002,13,MORRIS,M002,13,38.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,20
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M002-seed19,MORRIS_M002,MORRIS 参数样本 M002,19,MORRIS,M002,19,38.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,20
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M002-seed25,MORRIS_M002,MORRIS 参数样本 M002,25,MORRIS,M002,25,38.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,20
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M003-seed01,MORRIS_M003,MORRIS 参数样本 M003,1,MORRIS,M003,1,38.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M003-seed07,MORRIS_M003,MORRIS 参数样本 M003,7,MORRIS,M003,7,38.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M003-seed13,MORRIS_M003,MORRIS 参数样本 M003,13,MORRIS,M003,13,38.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M003-seed19,MORRIS_M003,MORRIS 参数样本 M003,19,MORRIS,M003,19,38.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M003-seed25,MORRIS_M003,MORRIS 参数样本 M003,25,MORRIS,M003,25,38.0,5.2,0.02,0.05,1.0,6.4,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M004-seed01,MORRIS_M004,MORRIS 参数样本 M004,1,MORRIS,M004,1,38.0,5.2,0.02,0.05,1.0,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M004-seed07,MORRIS_M004,MORRIS 参数样本 M004,7,MORRIS,M004,7,38.0,5.2,0.02,0.05,1.0,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M004-seed13,MORRIS_M004,MORRIS 参数样本 M004,13,MORRIS,M004,13,38.0,5.2,0.02,0.05,1.0,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M004-seed19,MORRIS_M004,MORRIS 参数样本 M004,19,MORRIS,M004,19,38.0,5.2,0.02,0.05,1.0,16.6,4.1,0.068,5,4,50
