queueId,priority,scenarioGroup,scenarioId,scenarioName,seedId,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,onlineRate,offlineRate,onlineGovEffect,offlineGovEffect,latentTime,forgetTime,govForgetTime,expectedFinalTime,paperUse,notes,batchId,modelMode,modelModeName,baselineFamily,rerunScope,requiresModelModeSupport,analysisRole,plannedUse,replacementForHistory
V3-E0-1-seed01,1,E0,E0-1,无干预基准情景,1,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed02,1,E0,E0-1,无干预基准情景,2,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed03,1,E0,E0-1,无干预基准情景,3,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed04,1,E0,E0-1,无干预基准情景,4,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed05,1,E0,E0-1,无干预基准情景,5,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed06,1,E0,E0-1,无干预基准情景,6,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed07,1,E0,E0-1,无干预基准情景,7,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed08,1,E0,E0-1,无干预基准情景,8,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed09,1,E0,E0-1,无干预基准情景,9,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed10,1,E0,E0-1,无干预基准情景,10,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
