scenario,time,mean_active,sd_active,n
No intervention,0.0,0.0,0.0,30
No intervention,1.0,20.0,0.0,30
No intervention,2.0,38.43333333333333,3.6829835481701454,30
No intervention,3.0,61.166666666666664,3.6206622878002386,30
No intervention,4.0,79.76666666666667,4.973608509844277,30
No intervention,5.0,105.16666666666667,7.55706261733346,30
No intervention,6.0,132.66666666666666,10.882866424301799,30
No intervention,7.0,161.13333333333333,14.628110240061845,30
No intervention,8.0,195.16666666666666,20.151295557449355,30
No intervention,9.0,230.23333333333332,25.847941735349508,30
No intervention,10.0,268.03333333333336,30.14274469041041,30
No intervention,11.0,309.5,37.70735773806229,30
No intervention,12.0,351.46666666666664,42.47168089634456,30
No intervention,13.0,398.8666666666667,46.26589816844944,30
No intervention,14.0,445.7,52.293699758983955,30
No intervention,15.0,491.3,55.92800174608732,30
No intervention,16.0,540.1,59.42271132058562,30
No intervention,17.0,586.2666666666667,62.13108130692572,30
No intervention,18.0,630.4666666666667,62.8455870852676,30
No intervention,19.0,673.2666666666667,63.00133185966749,30
No intervention,20.0,712.4333333333333,61.28209691499509,30
No intervention,21.0,744.6333333333333,57.276391798639565,30
No intervention,22.0,774.9333333333333,53.37630452792205,30
No intervention,23.0,799.7,47.96920707689682,30
No intervention,24.0,818.8333333333334,43.327210000607934,30
No intervention,25.0,832.8,39.1543365282253,30
No intervention,26.0,845.9333333333333,32.29597320189424,30
No intervention,27.0,852.5333333333333,28.16176587984611,30
No intervention,28.0,854.7333333333333,23.303001631924406,30
No intervention,29.0,855.9333333333333,20.048103071902077,30
No intervention,30.0,853.9333333333333,15.77193783238147,30
No intervention,31.0,847.5333333333333,13.969753862846169,30
No intervention,32.0,840.9666666666667,13.18432542004367,30
No intervention,33.0,831.5666666666667,14.431009077278873,30
No intervention,34.0,817.1333333333333,16.72028157932617,30
No intervention,35.0,801.6333333333333,18.941804402511092,30
No intervention,36.0,786.7333333333333,20.2142546722362,30
No intervention,37.0,770.7666666666667,21.227313786127354,30
No intervention,38.0,751.5666666666667,21.21431418728358,30
No intervention,39.0,731.3,21.159737303629743,30
No intervention,40.0,712.5666666666667,23.612800931191774,30
No intervention,41.0,692.6666666666666,25.532039821981815,30
No intervention,42.0,672.0666666666667,26.51080889949886,30
No intervention,43.0,649.9,26.857670836441123,30
No intervention,44.0,628.6333333333333,26.55311311488643,30
No intervention,45.0,606.8666666666667,27.55024667682712,30
No intervention,46.0,584.6666666666666,26.58795855702138,30
No intervention,47.0,563.1,25.553662265366423,30
No intervention,48.0,543.2,25.467220310525185,30
No intervention,49.0,520.7666666666667,24.809179798994776,30
No intervention,50.0,499.2,23.589009714490867,30
No intervention,51.0,479.1,24.85731696898425,30
No intervention,52.0,458.8333333333333,23.78797629248765,30
No intervention,53.0,438.56666666666666,24.310751606607322,30
No intervention,54.0,420.9,25.172987711927,30
No intervention,55.0,403.46666666666664,26.228088830072252,30
No intervention,56.0,385.6,26.02863145023982,30
No intervention,57.0,368.1333333333333,25.036157760373275,30
No intervention,58.0,351.4,24.82295933898349,30
No intervention,59.0,336.76666666666665,22.52306608228831,30
No intervention,60.0,321.73333333333335,23.212561007044165,30
No intervention,61.0,307.93333333333334,21.558154443006153,30
No intervention,62.0,296.5,20.480015490295862,30
No intervention,63.0,285.5,19.146891347575522,30
No intervention,64.0,275.76666666666665,19.25631707067675,30
No intervention,65.0,265.8666666666667,17.670808449654135,30
No intervention,66.0,256.46666666666664,17.539577577843637,30
No intervention,67.0,248.2,18.387401984079695,30
No intervention,68.0,240.53333333333333,17.407357408694264,30
No intervention,69.0,233.86666666666667,16.77792748150714,30
No intervention,70.0,227.53333333333333,17.0874693619448,30
No intervention,71.0,221.53333333333333,17.57296774600975,30
No intervention,72.0,216.16666666666666,17.563840859764312,30
No intervention,73.0,210.7,17.755329457318748,30
No intervention,74.0,205.2,17.213467061456907,30
No intervention,75.0,198.33333333333334,16.95090951345483,30
No intervention,76.0,192.23333333333332,16.39739956955609,30
No intervention,77.0,187.23333333333332,16.151616409625326,30
No intervention,78.0,181.56666666666666,17.06111394942903,30
No intervention,79.0,175.4,16.961619961670465,30
No intervention,80.0,170.43333333333334,16.728425804153172,30
No intervention,81.0,164.03333333333333,16.705322986759455,30
No intervention,82.0,158.43333333333334,16.58142569747606,30
No intervention,83.0,153.66666666666666,15.914281881884957,30
No intervention,84.0,147.6,15.137530432214065,30
No intervention,85.0,142.4,15.368126442244927,30
No intervention,86.0,137.96666666666667,15.403723986220939,30
No intervention,87.0,132.86666666666667,15.773686804368182,30
No intervention,88.0,128.03333333333333,15.214519683361756,30
No intervention,89.0,123.36666666666666,15.011451567417444,30
No intervention,90.0,118.86666666666666,15.016619145956676,30
No intervention,91.0,113.76666666666667,14.646838739382341,30
No intervention,92.0,109.3,15.042812466309341,30
No intervention,93.0,103.9,15.407902137405406,30
No intervention,94.0,100.2,15.18937922955742,30
No intervention,95.0,95.53333333333333,14.15854398644479,30
No intervention,96.0,90.83333333333333,13.091411592004293,30
No intervention,97.0,86.83333333333333,13.20679901527562,30
No intervention,98.0,83.16666666666667,12.484703284097463,30
No intervention,99.0,80.06666666666666,12.011297364057558,30
No intervention,100.0,76.83333333333333,11.931076008166395,30
No intervention,101.0,73.9,11.535103843904274,30
No intervention,102.0,71.13333333333334,11.006998818411212,30
No intervention,103.0,68.86666666666666,11.309847199593854,30
No intervention,104.0,66.2,11.384805360806494,30
No intervention,105.0,63.5,10.99764865151042,30
No intervention,106.0,61.4,10.558866187825934,30
No intervention,107.0,58.86666666666667,10.122468464563966,30
No intervention,108.0,56.93333333333333,10.556688787726932,30
No intervention,109.0,54.53333333333333,10.562566737869826,30
No intervention,110.0,51.93333333333333,10.129960116112157,30
No intervention,111.0,50.5,10.019807968426237,30
No intervention,112.0,48.9,10.073351666307667,30
No intervention,113.0,47.666666666666664,9.72849824797844,30
No intervention,114.0,45.7,9.900017415519338,30
No intervention,115.0,44.2,10.446580037637133,30
No intervention,116.0,42.833333333333336,10.272438294083207,30
No intervention,117.0,40.9,10.080195674072316,30
