runId,enableOfflineIntervention,enableOnlineIntervention,forgetTime,govForgetTime,initialOfflineSeeds,initialOnlineSeeds,interventionStartTime,kOffline,kOnline,latentTime,modelMode,offlineGovEffect,offlineRate,onlineGovEffect,onlineRate,pRewire,parameterFile,seedId
M0_T15_onfalse_offtrue_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362568072,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362568072.csv,10
M0_T15_onfalse_offtrue_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362578474,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362578474.csv,10
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362597450,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362597450.csv,11
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512.csv,11
M0_T15_onfalse_offtrue_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362629045,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362629045.csv,12
M0_T15_onfalse_offtrue_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362640343,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362640343.csv,12
M0_T15_onfalse_offtrue_seed13_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362660352,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed13_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362660352.csv,13
M0_T15_onfalse_offtrue_seed13_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362671078,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed13_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362671078.csv,13
M0_T15_onfalse_offtrue_seed14_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362692587,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed14_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362692587.csv,14
M0_T15_onfalse_offtrue_seed14_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362704031,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed14_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362704031.csv,14
M0_T15_onfalse_offtrue_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362721914,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362721914.csv,15
M0_T15_onfalse_offtrue_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362732839,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362732839.csv,15
M0_T15_onfalse_offtrue_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362750884,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362750884.csv,16
M0_T15_onfalse_offtrue_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362761698,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362761698.csv,16
M0_T15_onfalse_offtrue_seed17_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362780941,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed17_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362780941.csv,17
M0_T15_onfalse_offtrue_seed17_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362791867,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed17_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362791867.csv,17
M0_T15_onfalse_offtrue_seed18_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362810084,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed18_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362810084.csv,18
M0_T15_onfalse_offtrue_seed18_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362821099,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed18_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362821099.csv,18
M0_T15_onfalse_offtrue_seed19_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362838952,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed19_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362838952.csv,19
M0_T15_onfalse_offtrue_seed19_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362849812,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed19_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362849812.csv,19
M0_T15_onfalse_offtrue_seed1_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362311852,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed1_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362311852.csv,1
