runId,rawFile,rowCount,maxTime,runCompleted,expectedFinalTime,medianDt,minDt,maxDt,hasDuplicateTimes,hasNegativeTimeStep,populationConstant,populationInitial,populationMin,populationMax,qualityNote
M0_T15_onfalse_offtrue_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362568072,raw_timeseries_M0_T15_onfalse_offtrue_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362568072.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362578474,raw_timeseries_M0_T15_onfalse_offtrue_seed10_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362578474.csv,109,108,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362597450,raw_timeseries_M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362597450.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512,raw_timeseries_M0_T15_onfalse_offtrue_seed11_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362608512.csv,103,102,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362629045,raw_timeseries_M0_T15_onfalse_offtrue_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362629045.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362640343,raw_timeseries_M0_T15_onfalse_offtrue_seed12_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362640343.csv,116,115,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed13_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362660352,raw_timeseries_M0_T15_onfalse_offtrue_seed13_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362660352.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed13_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362671078,raw_timeseries_M0_T15_onfalse_offtrue_seed13_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362671078.csv,107,106,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed14_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362692587,raw_timeseries_M0_T15_onfalse_offtrue_seed14_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362692587.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed14_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362704031,raw_timeseries_M0_T15_onfalse_offtrue_seed14_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362704031.csv,120,119,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362721914,raw_timeseries_M0_T15_onfalse_offtrue_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362721914.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
M0_T15_onfalse_offtrue_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362732839,raw_timeseries_M0_T15_onfalse_offtrue_seed15_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362732839.csv,113,112,false,180,1,1,1,false,false,true,1000,1000,1000,simulation did not reach 180h
M0_T15_onfalse_offtrue_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362750884,raw_timeseries_M0_T15_onfalse_offtrue_seed16_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362750884.csv,181,180,true,180,1,1,1,false,false,true,1000,1000,1000,ok
